sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00181,150,0,1,0.019505804795621876,0.5962877392807625,0.056755852466804986,150,1,normal,0
NOR_00182,150,0,1,0.027000358952101233,1.170093977734401,0.10308954603888806,150,1,normal,0
NOR_00183,150,0,1,0.022074319932306477,0.4300258177980339,0.055289003,150,1,normal,0
NOR_00184,148,2,0.9866666666666667,0.024020442845021653,0.3595771916979564,0.057779903,148,1,normal,0
NOR_00185,150,0,1,0.018161447720251342,0.4128954967094083,0.052237603030940154,150,1,normal,0
NOR_00186,150,0,1,0.014371994138614192,0.2259599384647267,0.028792855471524974,150,1,normal,0
NOR_00187,149,1,0.9933333333333333,0.016698660874193326,0.4078083947169228,0.041276141,149,1,normal,0
NOR_00188,150,0,1,0.016964484,0.2477575474149381,0.03448399,150,1,normal,0
NOR_00189,148,2,0.9866666666666667,0.030007807379002594,0.9021357632952125,0.092464832,148,1,normal,0
NOR_00190,148,2,0.9866666666666667,0.025672071339084144,1.055641345969267,0.1001888687541604,148,1,normal,0
NOR_00191,149,1,0.9933333333333333,0.1401454030391392,18.94756352600431,1.5460902311145377,149,1,normal,0
NOR_00192,148,2,0.9866666666666667,0.019897851724387898,0.4729951840952051,0.058396899,148,1,normal,0
NOR_00193,149,1,0.9933333333333333,0.014678481663241151,0.3173368819195663,0.031277457,149,1,normal,0
NOR_00194,148,2,0.9866666666666667,0.03745279,3.224961162116016,0.2667342128482178,148,1,normal,0
NOR_00195,150,0,1,0.017422315,0.3665627325977435,0.044469263,150,1,normal,0
NOR_00196,150,0,1,0.023450343,0.3114054537412725,0.049969241,150,1,normal,0
NOR_00197,150,0,1,0.018518349853351417,0.298856189,0.03977177,150,1,normal,0
NOR_00198,150,0,1,0.019286604,0.3205703181043404,0.035642349,150,1,normal,0
NOR_00199,150,0,1,0.021704772,0.3439300852115268,0.053786059087789106,150,1,normal,0
NOR_00200,149,1,0.9933333333333333,0.023988712,0.3436354096283361,0.051081038,149,1,normal,0
NOR_00201,150,0,1,0.019532283884686856,0.2621965586166516,0.040599042,150,1,normal,0
NOR_00202,150,0,1,0.017622488142380124,0.2097598290211919,0.029406652,150,1,normal,0
NOR_00203,150,0,1,0.015615134008315481,0.2069857488511226,0.025820519286850033,150,1,normal,0
NOR_00204,150,0,1,0.014216203588023113,0.1493927820362349,0.019781954463878485,150,1,normal,0
NOR_00205,148,2,0.9866666666666667,0.020479836,0.3653460893895926,0.045282945,148,1,normal,0
NOR_00206,150,0,1,0.017302249141497753,0.3818217522906945,0.037180985,150,1,normal,0
NOR_00207,150,0,1,0.016124705020091515,0.4572660559605451,0.039645109,150,1,normal,0
NOR_00208,150,0,1,0.013062850169210929,0.1038997290432052,0.019091158,150,1,normal,0
